Churn,Tenure,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,TenurePerAddress,AvgCashbackPerOrder,ComplainLowTenure,OrderFrequency,CouponUsageRate
1,4.0,3,6.0,0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,159.93,1,0,1,0,0,0,1,0,0,0,1,0.4,79.965,0,0.2,0.5
1,9.0,1,8.0,1,3.0,4,3,7,1,15.0,0.0,1.0,0.0,120.9,1,0,0,0,1,0,0,1,0,0,1,1.125,60.45,0,0.1,0.0
1,9.0,1,30.0,1,2.0,4,3,6,1,14.0,0.0,1.0,3.0,120.28,1,0,1,0,0,0,0,1,0,0,1,1.2857142857142858,60.14,0,0.1,0.0
1,0.0,3,15.0,1,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134.07,1,0,1,0,0,0,1,0,0,0,1,0.0,67.035,0,1.0,0.0
1,0.0,1,12.0,1,3.0,3,5,3,0,11.0,1.0,1.0,3.0,129.6,1,1,0,0,0,0,0,1,0,0,1,0.0,64.8,0,1.0,0.5
1,0.0,1,22.0,0,3.0,5,5,2,1,22.0,3.5,6.0,7.0,139.19,0,0,1,0,0,0,0,1,0,0,1,0.0,19.884285714285713,1,6.0,0.5
1,9.0,3,11.0,1,2.0,3,2,4,0,14.0,0.0,1.0,0.0,120.86000000000001,1,0,0,0,0,0,1,0,0,0,0,1.8,60.43000000000001,0,0.1,0.0
1,9.0,1,6.0,1,3.0,3,2,3,1,16.0,2.0,2.0,0.0,122.93,1,1,0,0,0,0,0,1,0,0,0,2.25,40.97666666666667,0,0.2,0.6666666666666666
1,13.0,3,9.0,1,3.0,4,3,2,1,14.0,0.0,1.0,2.0,126.83000000000001,1,0,0,1,0,0,0,1,0,0,0,4.333333333333333,63.415000000000006,0,0.07142857142857142,0.0
1,9.0,1,31.0,1,2.0,5,3,2,0,12.0,1.0,1.0,1.0,122.93,1,0,1,0,0,0,0,1,0,0,1,3.0,61.465,0,0.1,0.5
1,4.0,1,18.0,0,2.0,3,3,2,0,15.0,3.5,6.0,8.0,295.45,1,0,0,0,0,0,0,0,1,0,0,1.3333333333333333,42.207142857142856,0,1.2,0.5
1,11.0,1,6.0,1,3.0,4,3,10,1,13.0,0.0,1.0,0.0,153.81,1,0,1,0,0,0,0,0,0,0,1,1.0,76.905,0,0.08333333333333333,0.0
1,0.0,1,11.0,1,2.0,3,3,2,1,13.0,2.0,2.0,2.0,134.41,1,0,0,0,0,0,0,1,0,0,1,0.0,44.803333333333335,1,2.0,0.6666666666666666
1,0.0,1,15.0,1,3.0,4,3,1,1,17.0,0.0,1.0,0.0,133.88,1,1,0,0,0,0,0,1,0,0,0,0.0,66.94,1,1.0,0.0
1,9.0,3,15.0,1,3.0,4,2,2,0,16.0,0.0,4.0,7.0,196.19,1,1,0,0,0,0,0,0,0,0,1,3.0,39.238,0,0.4,0.0
1,9.0,2,12.0,1,3.0,3,5,5,1,22.0,1.0,1.0,2.0,120.72999999999999,1,0,0,0,1,0,0,1,0,1,0,1.5,60.364999999999995,0,0.1,0.5
1,0.0,1,12.0,0,3.0,4,2,2,1,18.0,1.0,1.0,0.0,129.26,0,0,1,0,0,0,0,1,0,0,1,0.0,64.63,1,1.0,0.5
1,0.0,3,11.0,1,2.0,4,3,2,1,11.0,1.0,1.0,3.0,157.44,1,0,0,1,0,0,1,0,0,0,1,0.0,78.72,1,1.0,0.5
1,0.0,1,13.0,1,3.0,5,3,2,1,24.0,1.0,1.0,6.0,160.74,0,0,1,0,0,0,1,0,0,0,1,0.0,80.37,1,1.0,0.5
1,19.0,1,20.0,0,3.0,3,4,10,1,18.0,1.0,4.0,3.0,149.63,1,0,1,0,0,0,0,1,0,0,0,1.7272727272727273,29.926,0,0.2,0.2
1,0.0,3,12.0,1,3.0,5,3,5,1,18.0,3.5,6.0,7.0,161.72,1,0,1,0,0,0,1,0,0,0,0,0.0,23.102857142857143,1,6.0,0.5
1,20.0,1,29.0,0,3.0,3,2,2,0,12.0,3.5,6.0,6.0,203.12,1,1,0,0,0,0,0,0,0,0,0,6.666666666666667,29.017142857142858,0,0.2857142857142857,0.5
1,9.0,3,28.0,1,2.0,3,3,2,1,19.0,0.0,1.0,0.0,116.75,1,0,0,1,0,0,0,1,0,0,1,3.0,58.375,0,0.1,0.0
